onset	duration	brud
12.20	0.04	-52
12.24	0.04	-52
12.28	0.04	-51
12.32	0.04	-50
12.36	0.04	-51
12.40	0.04	-51
12.44	0.04	-50
12.48	0.04	-50
12.52	0.04	-50
12.56	0.04	-50
12.60	0.04	-50
12.64	0.04	-50
12.68	0.04	-50
12.72	0.04	-50
12.76	0.04	-50
12.80	0.04	-49
12.84	0.04	-50
12.88	0.04	-49
12.92	0.04	-50
12.96	0.04	-49
13.00	0.04	-49
13.04	0.04	-50
13.08	0.04	-49
13.12	0.04	-50
13.16	0.04	-50
13.20	0.04	-50
13.24	0.04	-49
13.28	0.04	-49
13.32	0.04	-49
13.36	0.04	-50
13.40	0.04	-50
13.44	0.04	-50
13.48	0.04	-50
13.52	0.04	-50
13.56	0.04	-49
13.60	0.04	-50
13.64	0.04	-51
13.68	0.04	-51
13.72	0.04	-50
13.76	0.04	-50
13.80	0.04	-51
13.84	0.04	-49
13.88	0.04	-50
13.92	0.04	-49
13.96	0.04	-48
14.00	0.04	-48
14.04	0.04	-47
14.08	0.04	-47
14.12	0.04	-49
14.16	0.04	-50
14.20	0.04	-50
14.24	0.04	-49
14.28	0.04	-49
14.32	0.04	-49
14.36	0.04	-49
14.40	0.04	-48
14.44	0.04	-48
14.48	0.04	-49
14.52	0.04	-47
14.56	0.04	-49
14.60	0.04	-48
14.64	0.04	-50
14.68	0.04	-50
14.72	0.04	-49
14.76	0.04	-50
14.80	0.04	-48
14.84	0.04	-49
14.88	0.04	-48
14.92	0.04	-50
14.96	0.04	-50
15.00	0.04	-49
15.04	0.04	-49
15.08	0.04	-50
15.12	0.04	-50
15.16	0.04	-48
15.20	0.04	-48
15.24	0.04	-49
15.28	0.04	-49
15.32	0.04	-47
15.36	0.04	-48
15.40	0.04	-48
15.44	0.04	-48
15.48	0.04	-48
15.52	0.04	-48
15.56	0.04	-46
15.60	0.04	-46
15.64	0.04	-46
15.68	0.04	-48
15.72	0.04	-47
15.76	0.04	-47
15.80	0.04	-48
15.84	0.04	-48
15.88	0.04	-48
15.92	0.04	-49
15.96	0.04	-48
16.00	0.04	-48
16.04	0.04	-48
16.08	0.04	-48
16.12	0.04	-48
16.16	0.04	-48
16.20	0.04	-48
16.24	0.04	-48
16.28	0.04	-48
16.32	0.04	-48
16.36	0.04	-49
16.40	0.04	-49
16.44	0.04	-48
16.48	0.04	-49
16.52	0.04	-49
16.56	0.04	-48
16.60	0.04	-49
16.64	0.04	-48
16.68	0.04	-49
16.72	0.04	-49
16.76	0.04	-49
16.80	0.04	-49
16.84	0.04	-51
16.88	0.04	-51
16.92	0.04	-49
16.96	0.04	-49
17.00	0.04	-48
17.04	0.04	-49
17.08	0.04	-48
17.12	0.04	-49
17.16	0.04	-50
17.20	0.04	-50
17.24	0.04	-50
17.28	0.04	-49
17.32	0.04	-50
17.36	0.04	-50
17.40	0.04	-49
17.44	0.04	-49
17.48	0.04	-49
17.52	0.04	-49
17.56	0.04	-49
17.60	0.04	-49
17.64	0.04	-50
17.68	0.04	-50
17.72	0.04	-49
17.76	0.04	-50
17.80	0.04	-50
17.84	0.04	-51
17.88	0.04	-50
17.92	0.04	-50
17.96	0.04	-50
18.00	0.04	-50
18.04	0.04	-50
18.08	0.04	-50
18.12	0.04	-51
18.16	0.04	-51
18.20	0.04	-51
18.24	0.04	-51
18.28	0.04	-51
18.32	0.04	-51
18.36	0.04	-51
18.40	0.04	-50
18.44	0.04	-51
18.48	0.04	-51
18.52	0.04	-51
18.56	0.04	-51
18.60	0.04	-51
18.64	0.04	-51
18.68	0.04	-50
18.72	0.04	-51
18.76	0.04	-51
18.80	0.04	-51
18.84	0.04	-51
18.88	0.04	-51
18.92	0.04	-51
18.96	0.04	-52
19.00	0.04	-51
19.04	0.04	-51
19.08	0.04	-51
19.12	0.04	-51
19.16	0.04	-51
19.20	0.04	-51
19.24	0.04	-51
19.28	0.04	-51
19.32	0.04	-51
19.36	0.04	-50
19.40	0.04	-52
19.44	0.04	-52
19.48	0.04	-51
19.52	0.04	-52
19.56	0.04	-52
19.60	0.04	-52
19.64	0.04	-52
19.68	0.04	-52
19.72	0.04	-52
19.76	0.04	-52
19.80	0.04	-53
19.84	0.04	-53
19.88	0.04	-53
19.92	0.04	-53
19.96	0.04	-52
20.00	0.04	-51
20.04	0.04	-52
20.08	0.04	-51
20.12	0.04	-51
20.16	0.04	-52
20.20	0.04	-51
20.24	0.04	-51
20.28	0.04	-51
20.32	0.04	-51
20.36	0.04	-50
20.40	0.04	-51
20.44	0.04	-51
20.48	0.04	-50
20.52	0.04	-51
20.56	0.04	-50
20.60	0.04	-51
20.64	0.04	-51
20.68	0.04	-51
20.72	0.04	-51
20.76	0.04	-51
20.80	0.04	-50
20.84	0.04	-51
20.88	0.04	-51
20.92	0.04	-51
20.96	0.04	-51
21.00	0.04	-52
21.04	0.04	-51
21.08	0.04	-52
21.12	0.04	-51
21.16	0.04	-51
21.20	0.04	-52
21.24	0.04	-51
21.28	0.04	-51
21.32	0.04	-52
21.36	0.04	-52
21.40	0.04	-51
21.44	0.04	-51
21.48	0.04	-52
21.52	0.04	-52
21.56	0.04	-52
21.60	0.04	-51
21.64	0.04	-52
21.68	0.04	-51
21.72	0.04	-52
21.76	0.04	-52
21.80	0.04	-51
21.84	0.04	-52
21.88	0.04	-51
21.92	0.04	-50
21.96	0.04	-50
22.00	0.04	-51
22.04	0.04	-50
22.08	0.04	-49
22.12	0.04	-49
22.16	0.04	-49
22.20	0.04	-50
22.24	0.04	-50
22.28	0.04	-50
22.32	0.04	-51
22.36	0.04	-51
22.40	0.04	-50
22.44	0.04	-51
22.48	0.04	-51
22.52	0.04	-51
22.56	0.04	-50
22.60	0.04	-50
22.64	0.04	-50
22.68	0.04	-50
22.72	0.04	-51
22.76	0.04	-51
22.80	0.04	-49
22.84	0.04	-49
22.88	0.04	-51
22.92	0.04	-49
22.96	0.04	-50
23.00	0.04	-50
23.04	0.04	-50
23.08	0.04	-50
23.12	0.04	-49
23.16	0.04	-49
23.20	0.04	-50
23.24	0.04	-51
23.28	0.04	-50
23.32	0.04	-50
23.36	0.04	-50
23.40	0.04	-51
23.44	0.04	-50
23.48	0.04	-49
23.52	0.04	-50
23.56	0.04	-51
23.60	0.04	-51
23.64	0.04	-50
23.68	0.04	-50
23.72	0.04	-51
23.76	0.04	-50
23.80	0.04	-51
23.84	0.04	-51
23.88	0.04	-50
