onset	duration	brlr
12.04	0.04	4
12.08	0.04	4
12.12	0.04	3
12.16	0.04	3
12.20	0.04	2
12.24	0.04	3
12.28	0.04	3
12.32	0.04	3
12.36	0.04	4
12.40	0.04	4
12.44	0.04	4
12.48	0.04	5
12.52	0.04	4
12.56	0.04	5
12.60	0.04	4
12.64	0.04	4
12.68	0.04	4
12.72	0.04	5
12.76	0.04	5
12.80	0.04	6
12.84	0.04	5
12.88	0.04	6
12.92	0.04	6
12.96	0.04	6
13.00	0.04	5
13.04	0.04	6
13.08	0.04	5
13.12	0.04	6
13.16	0.04	6
13.20	0.04	4
13.24	0.04	5
13.28	0.04	5
13.32	0.04	5
13.36	0.04	6
13.40	0.04	5
13.44	0.04	5
13.48	0.04	5
13.52	0.04	5
13.56	0.04	5
13.60	0.04	5
13.64	0.04	7
13.68	0.04	7
13.72	0.04	5
13.76	0.04	6
13.80	0.04	6
13.84	0.04	7
13.88	0.04	7
13.92	0.04	7
13.96	0.04	6
14.00	0.04	6
14.04	0.04	7
14.08	0.04	5
14.12	0.04	5
14.16	0.04	4
14.20	0.04	4
14.24	0.04	4
14.28	0.04	4
14.32	0.04	4
14.36	0.04	4
14.40	0.04	3
14.44	0.04	4
14.48	0.04	4
14.52	0.04	4
14.56	0.04	4
14.60	0.04	4
14.64	0.04	4
14.68	0.04	4
14.72	0.04	4
14.76	0.04	3
14.80	0.04	5
14.84	0.04	5
14.88	0.04	6
14.92	0.04	-21
14.96	0.04	-20
15.00	0.04	-19
15.04	0.04	-20
15.08	0.04	-19
15.12	0.04	-18
15.16	0.04	-17
15.20	0.04	-17
15.24	0.04	-16
15.28	0.04	-15
15.32	0.04	-15
15.36	0.04	-13
15.40	0.04	-12
15.44	0.04	-9
15.48	0.04	-10
15.52	0.04	-10
15.56	0.04	-9
15.60	0.04	-9
15.64	0.04	-10
15.68	0.04	-9
15.72	0.04	-8
15.76	0.04	-9
15.80	0.04	-9
15.84	0.04	-8
15.88	0.04	-7
15.92	0.04	-6
15.96	0.04	-6
16.00	0.04	-6
16.04	0.04	-6
16.08	0.04	-6
16.12	0.04	-1
16.16	0.04	6
16.20	0.04	10
16.24	0.04	12
16.28	0.04	12
16.32	0.04	8
16.36	0.04	4
16.40	0.04	3
16.44	0.04	3
16.48	0.04	7
16.52	0.04	11
16.56	0.04	17
16.60	0.04	20
16.64	0.04	28
16.68	0.04	27
16.72	0.04	20
16.76	0.04	15
16.80	0.04	20
