onset	duration	lrdiff
0.00	0.04	0.00000000
0.04	0.04	-0.00001414
0.08	0.04	0.00044119
0.12	0.04	0.00037509
0.16	0.04	-0.00004520
0.20	0.04	-0.00567160
0.24	0.04	-0.00758967
0.28	0.04	-0.00925065
0.32	0.04	-0.00665537
0.36	0.04	-0.00378338
0.40	0.04	0.00011084
0.44	0.04	0.00588441
0.48	0.04	0.00938564
0.52	0.04	0.01068029
0.56	0.04	0.00830610
0.60	0.04	0.00184739
0.64	0.04	0.00375321
0.68	0.04	0.00831156
0.72	0.04	0.01510806
0.76	0.04	0.00929744
0.80	0.04	0.00457804
0.84	0.04	0.00581225
0.88	0.04	-0.00030143
0.92	0.04	-0.00551730
0.96	0.04	-0.00568181
1.00	0.04	-0.00944240
1.04	0.04	-0.01779360
1.08	0.04	-0.01702626
1.12	0.04	-0.01663376
1.16	0.04	-0.01510629
1.20	0.04	-0.01769209
1.24	0.04	-0.01565204
1.28	0.04	-0.01905201
1.32	0.04	-0.01837793
1.36	0.04	-0.01921845
1.40	0.04	-0.02767882
1.44	0.04	-0.02450353
1.48	0.04	-0.02100063
1.52	0.04	-0.01833042
1.56	0.04	-0.01240105
1.60	0.04	-0.00632780
1.64	0.04	0.00183445
1.68	0.04	0.00105892
1.72	0.04	0.00450976
1.76	0.04	0.00530683
1.80	0.04	0.00293275
1.84	0.04	0.00330335
1.88	0.04	0.00192412
1.92	0.04	-0.00118363
1.96	0.04	-0.00055951
2.00	0.04	-0.00212414
2.04	0.04	-0.00380799
2.08	0.04	-0.00531608
2.12	0.04	-0.00643152
2.16	0.04	-0.00410761
2.20	0.04	-0.00307871
2.24	0.04	-0.00138442
2.28	0.04	-0.00074966
2.32	0.04	0.00033863
2.36	0.04	-0.00310300
2.40	0.04	-0.00249371
2.44	0.04	-0.00096633
2.48	0.04	0.00221420
2.52	0.04	0.00153478
2.56	0.04	0.00146468
2.60	0.04	0.00078204
2.64	0.04	-0.00339344
2.68	0.04	-0.00218710
2.72	0.04	-0.00229716
2.76	0.04	-0.00670717
2.80	0.04	-0.00083805
2.84	0.04	-0.00432236
2.88	0.04	-0.00628975
2.92	0.04	-0.01032020
2.96	0.04	-0.00870273
3.00	0.04	-0.00242523
3.04	0.04	-0.00436397
3.08	0.04	0.00623441
3.12	0.04	-0.00125325
3.16	0.04	-0.00009179
3.20	0.04	-0.00103775
3.24	0.04	-0.00025959
3.28	0.04	-0.00205721
3.32	0.04	-0.00247601
3.36	0.04	-0.00651640
3.40	0.04	-0.00602750
3.44	0.04	0.00041831
3.48	0.04	-0.00106484
3.52	0.04	0.00276457
3.56	0.04	0.00152885
3.60	0.04	0.00140624
3.64	0.04	0.00331829
3.68	0.04	-0.00277243
3.72	0.04	0.00719320
3.76	0.04	0.00898422
3.80	0.04	0.00848194
3.84	0.04	0.00433720
3.88	0.04	0.00404691
3.92	0.04	0.00264338
3.96	0.04	0.00187567
4.00	0.04	0.01048996
4.04	0.04	0.00724911
4.08	0.04	0.00581683
4.12	0.04	0.00065358
4.16	0.04	0.00212876
4.20	0.04	0.00437883
4.24	0.04	0.00385501
4.28	0.04	0.00491583
4.32	0.04	0.00937842
4.36	0.04	0.00300862
4.40	0.04	0.00473884
4.44	0.04	0.00185210
4.48	0.04	0.00491647
4.52	0.04	0.00040621
4.56	0.04	0.00170951
4.60	0.04	-0.00007802
4.64	0.04	0.00156407
4.68	0.04	0.00126093
4.72	0.04	0.00203193
4.76	0.04	0.00155261
4.80	0.04	0.00090034
4.84	0.04	0.00039033
4.88	0.04	-0.00188194
4.92	0.04	0.00094013
4.96	0.04	0.00300998
5.00	0.04	-0.00208158
5.04	0.04	-0.00658077
5.08	0.04	-0.00015572
