onset	duration	lrdiff
0.00	0.04	0.00000000
0.04	0.04	-0.00000011
0.08	0.04	0.00002290
0.12	0.04	0.00002281
0.16	0.04	0.00025737
0.20	0.04	0.00039538
0.24	0.04	0.00072468
0.28	0.04	0.00103646
0.32	0.04	0.00092050
0.36	0.04	0.00083592
0.40	0.04	0.00143316
0.44	0.04	0.00136312
0.48	0.04	0.00102161
0.52	0.04	0.00071659
0.56	0.04	0.00112829
0.60	0.04	0.00093736
0.64	0.04	0.00185654
0.68	0.04	0.00214842
0.72	0.04	0.00077482
0.76	0.04	0.00037796
0.80	0.04	0.00087229
0.84	0.04	-0.00026340
0.88	0.04	0.00129986
0.92	0.04	0.00251144
0.96	0.04	0.00057070
1.00	0.04	-0.00104992
1.04	0.04	0.00050885
1.08	0.04	0.00286756
1.12	0.04	0.00234106
1.16	0.04	0.00250551
1.20	0.04	0.00091990
1.24	0.04	0.00040146
1.28	0.04	0.00133066
1.32	0.04	0.00241311
1.36	0.04	0.00033919
1.40	0.04	-0.00008496
1.44	0.04	0.00025945
1.48	0.04	-0.00053282
1.52	0.04	-0.00283268
1.56	0.04	-0.00097788
1.60	0.04	-0.00194023
1.64	0.04	0.00096225
1.68	0.04	0.00115793
1.72	0.04	0.00011717
1.76	0.04	0.00049628
1.80	0.04	0.00125199
1.84	0.04	0.00245717
1.88	0.04	0.00188188
1.92	0.04	0.00044955
1.96	0.04	0.00001819
2.00	0.04	0.00037315
2.04	0.04	0.00056976
2.08	0.04	-0.00386899
2.12	0.04	-0.00413751
2.16	0.04	-0.00187211
2.20	0.04	-0.00014489
2.24	0.04	0.00076930
2.28	0.04	-0.00011672
2.32	0.04	-0.00084495
2.36	0.04	-0.00087047
2.40	0.04	-0.00194707
2.44	0.04	0.00014031
2.48	0.04	0.00030710
2.52	0.04	-0.00061816
2.56	0.04	-0.00089443
2.60	0.04	-0.00136314
2.64	0.04	-0.00019809
2.68	0.04	0.00165951
2.72	0.04	0.00011750
2.76	0.04	-0.00018324
2.80	0.04	0.00225482
2.84	0.04	0.00262234
2.88	0.04	0.00102039
2.92	0.04	0.00024118
2.96	0.04	0.00155622
3.00	0.04	0.00295144
3.04	0.04	0.00003093
3.08	0.04	-0.00415104
3.12	0.04	-0.00435939
3.16	0.04	-0.00352261
3.20	0.04	-0.00207964
3.24	0.04	-0.00345140
3.28	0.04	-0.00234803
3.32	0.04	-0.00104753
3.36	0.04	0.00033264
3.40	0.04	0.00081609
3.44	0.04	-0.00006831
3.48	0.04	-0.00013521
3.52	0.04	0.00095862
3.56	0.04	0.00085131
3.60	0.04	-0.00057730
3.64	0.04	0.00049696
3.68	0.04	0.00021678
3.72	0.04	0.00059464
3.76	0.04	0.00038779
3.80	0.04	-0.00019011
3.84	0.04	0.00075815
3.88	0.04	0.00069433
3.92	0.04	0.00091151
3.96	0.04	0.00025904
4.00	0.04	-0.00026016
4.04	0.04	-0.00066481
4.08	0.04	0.00025211
4.12	0.04	0.00043341
4.16	0.04	0.00045746
4.20	0.04	0.00064673
4.24	0.04	-0.00063772
4.28	0.04	-0.00066105
4.32	0.04	-0.00131239
4.36	0.04	-0.00025126
4.40	0.04	0.00058041
4.44	0.04	-0.00022757
4.48	0.04	0.00002568
4.52	0.04	0.00053883
4.56	0.04	0.00116365
4.60	0.04	0.00136013
4.64	0.04	0.00142096
4.68	0.04	0.00062969
4.72	0.04	-0.00068386
4.76	0.04	0.00055491
4.80	0.04	-0.00030224
4.84	0.04	-0.00107503
4.88	0.04	-0.00021756
4.92	0.04	0.00018550
4.96	0.04	0.00162818
5.00	0.04	0.00067190
5.04	0.04	-0.00051697
5.08	0.04	-0.00123758
5.12	0.04	-0.00128130
5.16	0.04	-0.00018629
5.20	0.04	-0.00067474
5.24	0.04	-0.00160842
5.28	0.04	-0.00017553
5.32	0.04	-0.00044410
5.36	0.04	-0.00073888
5.40	0.04	-0.00012526
5.44	0.04	0.00056097
5.48	0.04	0.00028141
5.52	0.04	-0.00027850
5.56	0.04	-0.00002222
5.60	0.04	0.00037224
5.64	0.04	0.00101142
5.68	0.04	0.00157554
5.72	0.04	0.00087364
